source_page,extracted_table_index,column_1,column_2,column_3,column_4
6,1,278,Functional Endoscopic Sinus Surgery (FESS) for ethmoidal polyp,5750,6613
6,1,279,Polyp removal ear,748,860
6,1,280,Polyp removal Nose(Septal polyp),748,860
6,1,281,"Mastoidectomy plus Ossiculoplasty including TORP (Total Ossicular Replacement Prosthesis) or PORP (Partial Ossicular Replacement Prosthesis)""",2174,2500
6,1,282,Endolymphatic sac decompression,2588,2976
6,1,283,Diagnostic endoscopy under GA,2070,2381
6,1,284,Young's operation for Atrophic rhinitis,6210,7142
6,1,285,Vidian neurectomy for vasomotor Rhinitis,9315,10712
6,1,286,Nasal Packing-anterior,345,397
6,1,287,Nasal Packing-posterior,725,834
6,1,288,Ranula Excision,6159,7083
6,1,289,Tongue Tie excision,1500,1725
6,1,290,Sub Mandibular Duct Lithotomy,242,278
6,1,291,Adenoidectomy,5640,6486
6,1,292,Palatopharyngoplasty,7349,8451
6,1,293,Pharyngoplasty,17193,19772
6,1,294,Styloidectomy,9200,10580
6,1,295,Direct laryngoscopy including Biopsy under GA,5000,5750
6,1,296,Oesophagoscopy with foreign body removal from Oesophagus,1800,2070
7,1,297,Bronchoscopy with foreign body (FB) removal,2438,2804
7,1,298,Other Major Surgery,15000,17250
7,1,299,Other Minor Surgery,7650,8798
7,1,,TREATMENT PROCEDURE FOR HEAD AND NECK,,
7,1,300,Ear Lobe Repair one side,500,575
7,1,301,Excision of Pinna for Growth (Squamous/Basal/ Injuries) Skin Only,3600,4140
7,1,302,Excision of Pinna for Growth (Squamous/Basal/ Injuries) Skin and Cartilage,3800,4370
7,1,303,Partial Amputation of Pinna,4500,5175
7,1,304,Total Amputation of Pinna,6200,7130
7,1,305,Total Amputation & Excision of External Auditory Meatus,1500,1725
7,1,306,Excision of Cystic Hygroma,4658,5357
7,1,307,Excision of Cystic Hygroma Extensive,6707,7713
7,1,308,Excision of Branchial Cyst,9315,10712
7,1,309,Excision of Branchial Sinus,9315,10712
7,1,310,Excision of Pharyngeal Diverticulum,9522,10950
7,1,311,Excision of Carotid Body-Tumours,11500,13225
7,1,312,Operation for Cervical Rib,11250,12938
7,1,313,Block Dissection of Cervical Lymph Nodes,13500,15525
7,1,314,Pharyngectomy & Reconstruction,13500,15525
