Speciality,Category,Package Amount,Code,Procedure,Preauth Documentation,Claim Documentation,Package Type
,M4.1 NEONATAL INTENSIVE CARE,P22.0.C,M4.1.18,"Medical Management of Term Baby, Fulminant septicemia Culture Positive with Septic Shock, Hyperbilirubinem ia Renal Failure requiring ventilatory support.","2D ECHO With Colour Doppler, Neurosonogram(NSG), Cerebrospinal Fluid (CSF) Analysis Cell Count , Arterial Blood Gas Analysis (ABG), Chest X-Ray PA View(1 Film), Serum Bilirubin Levels, Blood Culture & Sensitivity - Automated, Aspirate Culture (Tracheal ), Clinical Photograph, ICU Photo on Ventilator",Case Sheet with treatment details,Routine Ward-2300 HDU-3800 ICU without Ventilator-8800 ICU with Ventilator-10350
,M4.1 NEONATAL INTENSIVE CARE,P22.0.D,M4.1.2,Medical Management of Preterm Baby 33 To 34 Weeks with Severe Hyaline Membrane Disease Clinically evident septicemia Hyperbilirubinemia requiring Bubble Cpap.,"2D ECHO With Colour Doppler, Neurosonogram(NSG), Cerebrospinal Fluid (CSF) Analysis Cell Count , Arterial Blood Gas Analysis (ABG), Chest X-Ray PA View(1 Film), Serum Bilirubin Levels, Blood Culture & Sensitivity - Automated, Aspirate Culture (Tracheal ), Clinical Photograph, ICU Photo on Ventilator",Case Sheet with treatment details,60000
,M4.1 NEONATAL INTENSIVE CARE,P22.0.D,M4.1.3,Medical Management of pre term baby of 33 To 34 Weeks with Severe Hyaline Membrane Disease Clinically evident septicemia Hyperbilirubinemia requiring ventilatory support.,"2D ECHO With Colour Doppler, Neurosonogram(NSG), Cerebrospinal Fluid (CSF) Analysis Cell Count , Arterial Blood Gas Analysis (ABG), Chest X-Ray PA View(1 Film), Serum Bilirubin Levels, Blood Culture & Sensitivity - Automated, Aspirate Culture (Tracheal ), Clinical Photograph, ICU Photo on Ventilator",Case Sheet with treatment details,Routine Ward-2300 HDU-3800 ICU without Ventilator-8800 ICU with Ventilator-10350
,M4.1 NEONATAL INTENSIVE CARE,P22.0.B,M4.1.4,Medicalmanagement of Preterm baby of 35 To 36 Weeks with Mild Hyaline Membrane Disease septicemia Culture Positive Hyperbilirubinem ia not requiring ventilatory support.,"2D ECHO With Colour Doppler, Neurosonogram(NSG), Cerebrospinal Fluid (CSF) Analysis Cell Count , Arterial Blood Gas Analysis (ABG), Chest X-Ray PA View(1 Film), Serum Bilirubin Levels, Blood Culture & Sensitivity - Automated, Aspirate Culture (Tracheal ), Clinical Photograph",Case Sheet with treatment details,Routine Ward-2300 HDU-3800 ICU without Ventilator-8800 ICU with Ventilator-10350
,M4.1 NEONATAL INTENSIVE CARE,P22.0.A,M4.1.5,Medicalmanagement of Preterm baby of 33 To 34 Weeks with Mild Hyaline Membrane Disease septicemia Culture Positive Hyperbilirubinem ia not requiring ventilatory support.,"2D ECHO With Colour Doppler, Neurosonogram(NSG), Cerebrospinal Fluid (CSF) Analysis Cell Count , Arterial Blood Gas Analysis (ABG), Chest X-Ray PA View(1 Film), Serum Bilirubin Levels, Blood Culture & Sensitivity - Automated , Aspirate Culture (Tracheal ), Clinical Photograph",Case Sheet with treatment details,Routine Ward-2300 HDU-3800 ICU without Ventilator-8800 ICU with Ventilator-10350
,M4.1 NEONATAL INTENSIVE CARE,P22.0.D,M4.1.6,Medical management of Preterm baby of 33 To 34 Weeks with severe Hyaline Membrane Disease septicemia Culture Positive Hyperbilirubinem requiring ventilatory support/ bubble Cpap.,"2D ECHO With Colour Doppler, Neurosonogram(NSG), Cerebrospinal Fluid (CSF) Analysis Cell Count , Arterial Blood Gas Analysis (ABG), Chest X-Ray PA View(1 Film), Serum Bilirubin Levels, Blood Culture & Sensitivity - Automated, Aspirate Culture (Tracheal ), Clinical Photograph, ICU Photo on Ventilator",Case Sheet with treatment details,Routine Ward-2300 HDU-3800 ICU without Ventilator-8800 ICU with Ventilator-10350
,M4.1 NEONATAL INTENSIVE CARE,P22.0.D,M4.1.7,Medical management of Preterm baby of 30 To 32 Weeks with severe Hyaline Membrane Disease septicemia Culture Positive Hyperbilirubinem ia requiring Mechanical ventilatory support.,"2D ECHO With Colour Doppler, Neurosonogram(NSG), Cerebrospinal Fluid (CSF) Analysis Cell Count , Arterial Blood Gas Analysis (ABG), Chest X-Ray PA View(1 Film), Serum Bilirubin Levels, Blood Culture & Sensitivity - Automated, Aspirate Culture (Tracheal ), Clinical Photograph, ICU Photo on Ventilator",Case Sheet with treatment details,Routine Ward-2300 HDU-3800 ICU without Ventilator-8800 ICU with Ventilator-10350
,M4.1 NEONATAL INTENSIVE CARE,P22.0.E,M4.1.8,Medical management of Preterm baby of<30 Weeks with severe Hyaline Membrane Disease septicemia Culture PositiveHyperbilirubinem ia requiring Mechanical ventilatory support.,"2D ECHO With Colour Doppler, Neurosonogram(NSG), Cerebrospinal Fluid (CSF) Analysis Cell Count , Arterial Blood Gas Analysis (ABG), Chest X-Ray PA View(1 Film), Serum Bilirubin Levels, Blood Culture & Sensitivity - Automated, Aspirate Culture (Tracheal ), Clinical Photograph",Case Sheet with treatment details,Routine Ward-2300 HDU-3800 ICU without Ventilator-8800 ICU with Ventilator-10350
,M4.1 NEONATAL INTENSIVE CARE,P22.0.D,M4.1.9,Medical management of Preterm baby of 33 To 34 Weeks with severe Hyaline Membrane Disease septicemia Culture Positive Hyperbilirubinem ia Patent Ductus Arteriosus- requiring Mechanical ventilatory support.,"2D ECHO With Colour Doppler, Neurosonogram(NSG), Cerebrospinal Fluid (CSF) Analysis Cell Count , Arterial Blood Gas Analysis (ABG), Chest X-Ray PA View(1 Film), Serum Bilirubin Levels, Blood Culture & Sensitivity - Automated, Aspirate Culture (Tracheal ), Clinical Photograph, ICU Photo on Ventilator",Case Sheet with treatment details,Routine Ward-2300 HDU-3800 ICU without Ventilator-8800 ICU with Ventilator-10350
,M4.10 High Risk Newborn Post Discharge Care Package (Protocol Driven),-,M4.10A,High Risk Newborn Post Discharge Care Package (Protocol Driven),Need of planned care and details of planned post discharge care,"Detailed ICP with daily notes, vitals, drugs given, investigation reports Card with pre and post admission general conditions and vital parameters. Details of procedures/operations required for any congenital heart conditions if any.",5000
,M4.11 Febrile seizures / other seizures,-,M4.11A,Neurocysticercosis,Clinical notes detailing history and Admission notes showing vitals; planned line management; 1st seizure or past history,"Detailed ICPs, Treatment details, detailed discharge summary, All investigations reports.",Routine Ward-2300 HDU-3800 ICU without Ventilator-8800 ICU with Ventilator-10350
,M4.12 Acute encephalitis,-,M4.12A,Immune-mediated - uncomplicated,Clinical notes detailing history and Admission notes showing vitals and examination findings (incl neurological examination); any investigations done; planned line of management,"Detailed ICPs, Treatment details, detailed discharge summary, All investigations reports.",Routine Ward-2300 HDU-3800 ICU without Ventilator-8800 ICU with Ventilator-10350
,M4.13 Acute meningo encephalitis / aseptic meningitis / febrile encephalopathy / hypertensive encehalopathy / metabolic encephalopathy / hepatic encephalopathy / brain abscess,-,M4.13.1A,Hypertensive encehalopathy,Clinical notes detailing history and Admission notes showing vitals and examination findings; any investigations done; planned line of management,"Detailed ICPs, Treatment details, detailed discharge summary, All investigations reports.",Routine Ward-2300 HDU-3800 ICU without Ventilator-8800 ICU with Ventilator-10350
,M4.13 Acute meningo encephalitis / aseptic meningitis / febrile encephalopathy / hypertensive encehalopathy / metabolic encephalopathy / hepatic encephalopathy / brain abscess,-,M4.13.2A,Metabolic encephalopathy,Clinical notes detailing history and Admission notes showing vitals and examination findings; any investigations done; planned line of management,"Detailed ICPs, Treatment details, detailed discharge summary, All investigations reports.",Routine Ward-2300 HDU-3800 ICU without Ventilator-8800 ICU with Ventilator-10350
,M4.13 Acute meningo encephalitis / aseptic meningitis / febrile encephalopathy / hypertensive encehalopathy / metabolic encephalopathy / hepatic encephalopathy / brain abscess,-,M4.13.3A,Brain abscess,Clinical notes detailing history and Admission notes showing vitals and examination findings; any investigations done; planned line of management,"Detailed ICPs, Treatment details, detailed discharge summary, All investigations reports.",Routine Ward-2300 HDU-3800 ICU without Ventilator-8800 ICU with Ventilator-10350
,M4.14 Medical Management for Raised intracranial pressure,-,M4.14A,After Decompressive craniotomy /After Shunt procedure /After other emergency neuro surgical procedures /For ICP monitoring,Clinical notes detailing history and Admission notes showing vitals and examination findings (incl neurological examination); any investigations done; planned line of management,"Detailed ICPs, Treatment details, detailed discharge summary, All investigations reports.",Routine Ward-2300 HDU-3800 ICU without Ventilator-8800 ICU with Ventilator-10350
,M4.15 Intracranial space occupying lesion,-,M4.15A,Intracranial space occupying lesion,Clinical notes detailing history and Admission notes showing vitals and examination findings; any investigations done; planned line of management,"Detailed ICPs, Treatment details, detailed discharge summary, All investigations reports.",Routine Ward-2300 HDU-3800 ICU without Ventilator-8800 ICU with Ventilator-10350
,M4.16 Cerebral herniation,-,M4.16A,Cerebral herniation,Clinical notes detailing history and Admission notes showing vitals and examination findings (incl neurological examination); any investigations done; planned line of management,"Detailed ICPs, Treatment details, detailed discharge summary, All investigations reports.",Routine Ward-2300 HDU-3800 ICU without Ventilator-8800 ICU with Ventilator-10350
,M4.17 Acute neuroregression / Acute worsening in neuro metabolic and neurodegenerative conditions,-,M4.17A,Acute neuroregression / Acute worsening in neuro metabolic and neurodegenerative conditions,"Clinical notes with planned line of treatment (incl birth & past history), Investigation Reports supporting diagnosis (including CT head), Planned line of treatment","Detailed ICPs (daily Treatment details), Procedure / Operative Notes (if applicable), Detailed Discharge Summary, All investigations reports.",Routine Ward-2300 HDU-3800 ICU without Ventilator-8800 ICU with Ventilator-10350
,M4.18 Acute ataxia,-,M4.18A,Acute ataxia,Clinical notes detailing history and Admission notes showing vitals and examination findings (incl neurological examination); any investigations done; planned line of management,"Detailed ICPs, Treatment details, detailed discharge summary, All investigations reports.",Routine Ward-2300 HDU-3800 ICU without Ventilator-8800 ICU with Ventilator-10350
,M4.19 Acute urticaria / Anaphylaxis acute asthma,-,M4.19.1A,Acute urticaria,Clinical notes detailing history and Admission notes showing vitals; planned line management; specify the trigger,"Detailed ICPs, Treatment details, detailed discharge summary, All investigations reports.",Routine Ward-2300 HDU-3800 ICU without Ventilator-8800 ICU with Ventilator-10350
,M4.19 Acute urticaria / Anaphylaxis acute asthma,-,M4.19.2A,Anaphylaxis acute asthma,Clinical notes detailing history and Admission notes showing vitals; planned line management; specify the trigger,"Detailed ICPs, Treatment details, detailed discharge summary, All investigations reports.",Routine Ward-2300 HDU-3800 ICU without Ventilator-8800 ICU with Ventilator-10350
,M4.2 PEDIATRIC INTENSIVE CARE,P22.9.A,M4.2.1.1,Medical management of Severe Bronchiolitis(Non Ventilated),"Arterial Blood Gas Analysis (ABG), Chest X-Ray PA View(1 Film), Clinical Photograph","Arterial Blood Gas Analysis (ABG), Chest X-Ray PA View(1 Film)",Routine Ward-2300 HDU-3800 ICU without Ventilator-8800 ICU with Ventilator-10350
,M4.2 PEDIATRIC INTENSIVE CARE,P22.9.B,M4.2.1.2,Medical Management of Severe Bronchiolitis(Ventilated),"Arterial Blood Gas Analysis (ABG), Chest X-Ray PA View(1 Film), Clinical Photograph","Arterial Blood Gas Analysis (ABG), Chest X-Ray PA View(1 Film)",Routine Ward-2300 HDU-3800 ICU without Ventilator-8800 ICU with Ventilator-10350
,M4.2 PEDIATRIC INTENSIVE CARE,P22.9.A,M4.2.1.3,Medical Management of Severe Bronchopneumon ia(Non Ventilated),"Arterial Blood Gas Analysis (ABG), Chest X-Ray PA View(1 Film), Clinical Photograph","Arterial Blood Gas Analysis (ABG), Chest X-Ray PA View(1 Film)",Routine Ward-2300 HDU-3800 ICU without Ventilator-8800 ICU with Ventilator-10350
,M4.2 PEDIATRIC INTENSIVE CARE,P22.9.B,M4.2.1.4,Medical Management of Severe Bronchopneumon ia(Ventilated),"Arterial Blood Gas Analysis (ABG), Chest X-Ray PA View(1 Film), Clinical Photograph","Arterial Blood Gas Analysis (ABG), Chest X-Ray PA View(1 Film)",Routine Ward-2300 HDU-3800 ICU without Ventilator-8800 ICU with Ventilator-10350
,M4.2 PEDIATRIC INTENSIVE CARE,P22.9.B,M4.2.1.5,Medical Management of Acute Severe Asthma (Ventilated),"Arterial Blood Gas Analysis (ABG), Chest X-Ray PA View(1 Film), Clinical Photograph","Arterial Blood Gas Analysis (ABG), Chest X-Ray PA View(1 Film)",Routine Ward-2300 HDU-3800 ICU without Ventilator-8800 ICU with Ventilator-10350
,M4.2 PEDIATRIC INTENSIVE CARE,P22.9.A,M4.2.1.6,Medical Management of Severe Aspiration Pneumonia (Non Ventilated),"Arterial Blood Gas Analysis (ABG), Chest X-Ray PA View(1 Film), Clinical Photograph","Arterial Blood Gas Analysis (ABG), Chest X-Ray PA View(1 Film)",Routine Ward-2300 HDU-3800 ICU without Ventilator-8800 ICU with Ventilator-10350
,M4.2 PEDIATRIC INTENSIVE CARE,P22.9.B,M4.2.1.7,Medical Management of Severe Aspiration Pneumonia ( Ventilated),"Arterial Blood Gas Analysis (ABG), Chest X-Ray PA View(1 Film), Clinical Photograph","Arterial Blood Gas Analysis (ABG), Chest X-Ray PA View(1 Film)",Routine Ward-2300 HDU-3800 ICU without Ventilator-8800 ICU with Ventilator-10350
,M4.2 PEDIATRIC INTENSIVE CARE,J80.B,M4.2.1.8,Medical Management of ARDS With Multi- Organ Failure (Swine Flu),"Arterial Blood Gas Analysis (ABG), Chest X-Ray PA View(1 Film), CT Scan Chest With Contrast, Throat Swab For KLB, LFT(liver function tests), Renal Profile, Complete Blood Picture [CBP], Case sheet with clinical History, ICU Photo on Ventilator","Arterial Blood Gas Analysis (ABG) (4 To 6 Per Day), Chest X-Ray PA View(1 Film), Case sheet with clinical improvement",Routine Ward-2300 HDU-3800 ICU without Ventilator-8800 ICU with Ventilator-10350
,M4.2 PEDIATRIC INTENSIVE CARE,J80.C,M4.2.1.9,"Medical Management of ARDS Plus DIC (Blood and Blood Products,Swine Flu)","Arterial Blood Gas Analysis (ABG), Chest X-Ray PA View(1 Film), CT Scan Chest With Contrast, Throat Swab For KLB, Blood Coagulation Analyzer (BCA) Or Coagulation Profile, ICU Photo on Ventilator, Case sheet with clinical History","Arterial Blood Gas Analysis (ABG), Chest X-Ray PA View(1 Film), Case sheet with clinical improvement",Routine Ward-2300 HDU-3800 ICU without Ventilator-8800 ICU with Ventilator-10350
,M4.2 PEDIATRIC INTENSIVE CARE,I40,M4.2.2.1,Medical Management of Severe Myocarditis in Paediatric patient,"Holter/24 Hr Ecg (Monitering) - , Arterial Blood Gas Analysis (ABG) 12 Hrly, ECHO Cardiogram,Chest X-Ray PA View(1 Film)","POST OP Arterial Blood Gas Analysis (ABG), Chest X-Ray PA View(1 Film)",Routine Ward-2300 HDU-3800 ICU without Ventilator-8800 ICU with Ventilator-10350
,M4.2 PEDIATRIC INTENSIVE CARE,Q24.9.B,M4.2.2.2,Medical Management of Congenital Heart Disease With Infection (Non Ventilated) in Paediatric patient,"ECHO Cardiogram, Sepsis profile-, Blood Culture & Sensitivity - Automated/ Blood Culture & Sensitivity - Manual, Chest X-Ray PA View(1 Film), C-Reactive Protein, Cerebrospinal Fluid (CSF) Analysis Cell Count, Pulse Oxymetry Chart","Arterial Blood Gas Analysis (ABG), Chest X-Ray PA View(1 Film), Pulse Oxymetry Chart",Routine Ward-2300 HDU-3800 ICU without Ventilator-8800 ICU with Ventilator-10350
,M4.2 PEDIATRIC INTENSIVE CARE,Q24.9.C,M4.2.2.3,Medical Management of Congenital Heart Disease With Infection And Cardiogenic Shock (Ventilated) in Paediatric patients,"Arterial Blood Gas Analysis (ABG), Blood Culture & Sensitivity - Automated, ECG (Electro Cardiogram), ECHO Cardiogram, Serum Electrolytes, Serum Calcium, Serum Magnesium, ICU Photo on Ventilator","Arterial Blood Gas Analysis (ABG), Chest X-Ray PA View(1 Film), Pulse Oxymetry Chart",Routine Ward-2300 HDU-3800 ICU without Ventilator-8800 ICU with Ventilator-10350
,M4.2 PEDIATRIC INTENSIVE CARE,R57.0.A,M4.2.2.4,Medical Management of Cardiogenic Shock in Paediatric patients,"Arterial Blood Gas Analysis (ABG), ECHO Cardiogram, ECG (Electro Cardiogram), Chest X-Ray PA View(1 Film), C-Reactive Protein, ICU Photo on Ventilator","Arterial Blood Gas Analysis (ABG), Chest X-Ray PA View(1 Film), Pulse Oxymetry Chart",Routine Ward-2300 HDU-3800 ICU without Ventilator-8800 ICU with Ventilator-10350
,M4.2 PEDIATRIC INTENSIVE CARE,I33.0,M4.2.2.5,Medical Management of Infective Endocarditis,"ECHO Cardiogram, Blood Culture & Sensitivity - Manual, ECG (Electro Cardiogram), Procedure CD","ECHO Cardiogram, ECG (Electro Cardiogram), Procedure CD",Routine Ward-2300 HDU-3800 ICU without Ventilator-8800 ICU with Ventilator-10350
,M4.2 PEDIATRIC INTENSIVE CARE,G04.2.A,M4.2.3.1,Medical Management of Meningo- Encephalitis (Non Ventilated),"Chest X-Ray PA View(1 Film),Renal Profile,Sepsis profile -,Cerebrospinal Fluid (CSF) Analysis Cell Count.CT-Scan Brain Plain And Contrast,EEG (Electroencephalogram) \ Video EEG - , Blood Culture & Sensitivity - Automated/ Blood Culture & Sensitivity - Manual, Complete Blood Picture [CBP], Serum Electrolytes, Serum Magnesium Levels, Serum Calcium Levels, Random Blood Sugar (RBS) Test, CSF Viral Culture",Case Sheet with treatment details,Routine Ward-2300 HDU-3800 ICU without Ventilator-8800 ICU with Ventilator-10350
,M4.2 PEDIATRIC INTENSIVE CARE,G04.2.B,M4.2.3.2,Medical Management of Meningo- Encephalitis in Paediatric patients (Ventilated),"Arterial Blood Gas Analysis (ABG) 8Th Hrly (3/Day X 7 Days), Cerebrospinal Fluid (CSF) Analysis Cell Count, CT-Scan Brain Plain And Contrast,EEG (Electroencephalogram) \ Video EEG - , Blood Culture & Sensitivity - Automated/ Blood Culture & Sensitivity - Manual, Complete Blood Picture [CBP], Serum Electrolytes, Serum Magnesium Levels, Serum Calcium Levels, Random Blood Sugar (RBS) Test, CSF Viral Culture",Case Sheet with treatment details,Routine Ward-2300 HDU-3800 ICU without Ventilator-8800 ICU with Ventilator-10350
,M4.2 PEDIATRIC INTENSIVE CARE,G41,M4.2.3.3,Medical Management of Status Epilepticus,"EEG (Electroencephalogram) \ Video EEG - ,CT-Scan Brain Plain And Contrast , Cerebrospinal Fluid (CSF) Analysis Cell Count, Random Blood Sugar (RBS) Test, Serum Electrolytes, Serum Magnesium Levels, Serum Calcium Levels, Serum Phosphorus Levels, Arterial Blood Gas Analysis (ABG), Clinical Photograph",Clinical Photograph,Routine Ward-2300 HDU-3800 ICU without Ventilator-8800 ICU with Ventilator-10350
,M4.2 PEDIATRIC INTENSIVE CARE,R56.0,M4.2.3.4,Medical Management of Febrile Seizures (Atypical- Mechanical Ventilated) in Paediatric patients,"Arterial Blood Gas Analysis (ABG) 8Th Hrly (3/Day X 7 Days), Cerebrospinal Fluid (CSF) Analysis Cell Count, EEG (Electroencephalogram) \ Video EEG, Chest X-Ray PA View(1 Film), CT-Scan Brain Plain And Contrast , Serum Electrolytes, Serum Calcium, Serum Magnesium, Serum Phosphorus Levels, Random Blood Sugar (RBS) Test, Temperature Chart",Case Sheet with treatment details,Routine Ward-2300 HDU-3800 ICU without Ventilator-8800 ICU with Ventilator-10350
,M4.2 PEDIATRIC INTENSIVE CARE,I62.9,M4.2.3.5,Medical Management of Intra Cranial Bleed in Paediatric patient,"Arterial Blood Gas Analysis (ABG) - 8Th Hrly (3/Day X 7 Days), Random Blood Sugar (RBS) Test 4 Hrly, CT-Scan Brain Plain And Contrast, Colour Doppler Study Of Neck Vessels",Case Sheet with treatment details,Routine Ward-2300 HDU-3800 ICU without Ventilator-8800 ICU with Ventilator-10350
,M4.2 PEDIATRIC INTENSIVE CARE,K92.2.A,M4.2.4.1,Medical Management of Acute Gastro Intestinal Bleed in Paediatric patients,"Arterial Blood Gas Analysis (ABG) /USG Abdomen, Upper GI endoscopy",Case Sheet with treatment details,Routine Ward-2300 HDU-3800 ICU without Ventilator-8800 ICU with Ventilator-10350
,M4.2 PEDIATRIC INTENSIVE CARE,K85.A,M4.2.4.2,Medical management of Acute Pancreatitis (Mild) in pediatric patients,"CT scan Abdomen Without Contrast, CT Pelvis, Magnetic Resonance Cholangiopancreatography (MRCP), Serum Amylase Levels, LFT(liver function tests), Renal Profile, Chest X-Ray PA View(1 Film), Blood Culture & Sensitivity - Automated ,","USG Abdomen, CT scan Lower Abdomen Without Contrast, Serum Amylase Levels, Case sheet with clinical improvement",Routine Ward-2300 HDU-3800 ICU without Ventilator-8800 ICU with Ventilator-10350
,M4.2 PEDIATRIC INTENSIVE CARE,K72.0.A,M4.2.4.3,Medical Management of Acute Hepatitis With Hepatic Encephalopathy in Paediatric patient,"Arterial Blood Gas Analysis (ABG) 8Th Hrly (3/Day X 7 Days), General Random Blood Sugar (Grbs) Test, CT Scan Abdomen Without Contrast, PCR For HBV\ HCV\HIV, USG Abdomen, Serum Ammonia Levels, LFT(liver function tests), Renal Profile",Case Sheet with treatment details,Routine Ward-2300 HDU-3800 ICU without Ventilator-8800 ICU with Ventilator-10350
,M4.2 PEDIATRIC INTENSIVE CARE,N17.9.A,M4.2.5.1,Medical Management of Acute Renal Failure,"Arterial Blood Gas Analysis (ABG), Blood - Urea, Serum Creatinine, USG Abdomen, Serum Electrolytes, 24 Hrs Urine Analysis",Case Sheet with treatment details,Routine Ward-2300 HDU-3800 ICU without Ventilator-8800 ICU with Ventilator-10350
,M4.2 PEDIATRIC INTENSIVE CARE,E10.1,M4.2.6.1,Medical Management of Diabetic Ketoacidosis in Paediatric patient,"Arterial Blood Gas Analysis (ABG) 8 Hrly (3/Day X 5 Days), Random Blood Sugar (RBS) Test 4 Hrly, Serum Electrolytes, Urine Ketones Bodies, CUE (pH , Specific Gravity , Sugar , Protein And Microscopy)",Case Sheet with treatment details,Routine Ward-2300 HDU-3800 ICU without Ventilator-8800 ICU with Ventilator-10350
,M4.2 PEDIATRIC INTENSIVE CARE,R57.2,M4.2.7.1,Medical management of Septic shock,"Blood Culture & Sensitivity - Automated, Arterial Blood Gas Analysis (ABG), Renal Profile, USG Abdomen, Urine Culture & Sensitivity, LFT(liver function tests), ICU Photo on Ventilator, Case sheet with clinical History","Arterial Blood Gas Analysis (ABG), Case sheet with clinical improvement",Routine Ward-2300 HDU-3800 ICU without Ventilator-8800 ICU with Ventilator-10350
,M4.2 PEDIATRIC INTENSIVE CARE,T63.0,M4.2.8.1,Medical Management of Snake Bite Requiring Ventilatory Assistance,"Arterial Blood Gas Analysis (ABG), Blood Coagulation Analyzer (BCA) Or Coagulation Profile, Clinical Photograph",Case sheet with clinical improvement,Routine Ward-2300 HDU-3800 ICU without Ventilator-8800 ICU with Ventilator-10350
,M4.2 PEDIATRIC INTENSIVE CARE,T63.2.B,M4.2.8.2,Medical Management of Scorpion Sting With Myocarditis And Cardiogenic Shock Requiring Ventilatory Assistance in Paediatric patients,"Arterial Blood Gas Analysis (ABG), Random Blood Sugar (RBS) Test , ECG (Electro Cardiogram), 2D ECHO With Colour Doppler , Renal Profile, LFT(liver function tests), Chest X-Ray PA View(1 Film), Serum Electrolytes, CUE (pH , Specific Gravity , Sugar , Protein And Microscopy), Clinical Photograph, ICU Photo on Ventilator",Case Sheet with treatment details,Routine Ward-2300 HDU-3800 ICU without Ventilator-8800 ICU with Ventilator-10350
,M4.2 PEDIATRIC INTENSIVE CARE,T65.9,M4.2.8.3,Medical Management of Poison Ingestion/ Aspiration Requiring Ventilatory Assistance in Paediatric patients,"Random Blood Sugar (RBS) Test , Arterial Blood Gas Analysis (ABG), ECG, 2D ECHO With Colour Doppler , ICU Photo on Ventilator, Case sheet with clinical History",Case sheet with clinical improvement,Routine Ward-2300 HDU-3800 ICU without Ventilator-8800 ICU with Ventilator-10350
,M4.20 Acute abdomen,-,M4.20A,Acute abdomen,Clinical notes detailing history and Admission notes showing vitals and examination findings; any investigations done; planned line of management,"Detailed ICPs, Treatment details, detailed discharge summary, All investigations reports.",Routine Ward-2300 HDU-3800 ICU without Ventilator-8800 ICU with Ventilator-10350
,M4.21 Celiac disease,-,M4.21A,Celiac disease,Clinical notes detailing history and Admission notes showing vitals and examination findings; any investigations done; planned line of management,"Detailed ICPs, Treatment details, detailed discharge summary, All investigations reports.",Routine Ward-2300 HDU-3800 ICU without Ventilator-8800 ICU with Ventilator-10350
,M4.22 Unexplained hepatosplenomegaly,-,M4.22A,Unexplained hepatosplenomegaly,Clinical notes detailing history and Admission notes showing vitals and examination findings; any investigations done; planned line of management,"Detailed ICPs, Treatment details, detailed discharge summary, All investigations reports.",Routine Ward-2300 HDU-3800 ICU without Ventilator-8800 ICU with Ventilator-10350
,M4.23 Infantile cholestasis,-,M4.23A,Infantile cholestasis,Clinical notes detailing history and Admission notes showing vitals and examination findings; any investigations done; planned line of management,"Detailed ICPs, Treatment details, detailed discharge summary, All investigations reports.",Routine Ward-2300 HDU-3800 ICU without Ventilator-8800 ICU with Ventilator-10350
,M4.24 Global developmental delay / Intellectual disability of unknown etiology,-,M4.24.1A,Global developmental delay,Clinical notes detailing birth and subsequent history and Admission notes showing vitals; planned line management,"Detailed ICPs, Treatment details, detailed discharge summary, All investigations reports.",Routine Ward-2300 HDU-3800 ICU without Ventilator-8800 ICU with Ventilator-10350
,M4.24 Global developmental delay / Intellectual disability of unknown etiology,-,M4.24.2A,Intellectual disability of unknown etiology,Clinical notes detailing birth and subsequent history and Admission notes showing vitals; planned line management,"Detailed ICPs, Treatment details, detailed discharge summary, All investigations reports.",Routine Ward-2300 HDU-3800 ICU without Ventilator-8800 ICU with Ventilator-10350
,M4.25 Rickets - requiring admission for Work Up,-,M4.25A,Rickets - requiring admission for Work Up,"Clinical notes detailing history, investigations done and Admission notes showing vitals; planned line management","Detailed ICPs, Treatment details, detailed discharge summary, All investigations reports.",Routine Ward-2300 HDU-3800 ICU without Ventilator-8800 ICU with Ventilator-10350
,M4.26 Acute severe malnutrition,-,M4.26A,Acute severe malnutrition,Clinical notes detailing history and Admission notes showing vitals and examination findings; any investigations done; planned line of management,"Detailed ICPs, Treatment details, detailed discharge summary, All investigations reports.",Routine Ward-2300 HDU-3800 ICU without Ventilator-8800 ICU with Ventilator-10350
,M4.27 Developmental and behavioral disorders,-,M4.27A,Developmental and behavioral disorders,"Clinical notes detailing history and examination findings. Admission notes showing neurological examination; any investigations done, planned line management","Detailed ICPs, Treatment details, detailed discharge summary, All investigations reports.",Routine Ward-2300 HDU-3800 ICU without Ventilator-8800 ICU with Ventilator-10350
,M4.28 Dysmorphic children,-,M4.28A,Dysmorphic children,"Clinical notes detailing history, investigations done and Admission notes showing vitals; planned line management","Detailed ICPs, Treatment details, detailed discharge summary, All investigations reports.",Routine Ward-2300 HDU-3800 ICU without Ventilator-8800 ICU with Ventilator-10350
,M4.29 Floppy infant,-,M4.29A,Floppy infant,Clinical notes detailing history and Admission notes showing vitals and examination findings (incl neurological examination); any investigations done; planned line of management,"Detailed ICPs, Treatment details, detailed discharge summary, All investigations reports.",Routine Ward-2300 HDU-3800 ICU without Ventilator-8800 ICU with Ventilator-10350
,M4.3 GENERAL PEDIATRICS,J18.0.A,M4.3.1,Medical Management of Acute Broncho Lobar pneumonia With Empyema/ Pleural Effusion in Paediatric patients(J18.1/J43/J90),"Rapid AFB Culture, Chest X-Ray PA View(1 Film), Blood Culture & Sensitivity - Automated, LFT(liver function tests), C-Reactive Protein, Fluid analysis culture and sensitivity",Chest X-Ray PA View(1 Film),Routine Ward-2300 HDU-3800 ICU without Ventilator-8800 ICU with Ventilator-10350
