source_page,extracted_table_index,column_1,column_2,column_3,column_4
13,1,366,Excision of mammary fistula,13973,16069
13,1,367,Segmental resection of breast,14490,16664
13,1,368,Other Major Surgery,23000,26450
13,1,369,Other Minor Surgery,5000,5750
13,1,,TREATMENT PROCEDURE GENERAL SURGERY,,
13,1,370,Injury Of Superficial Soft Tissues,425,489
13,1,371,Suturing of small wounds,1060,1250
13,1,372,Secondary suture of wounds,3400,4000
13,1,373,Debridement of wounds,1275,1500
13,1,374,Removal Of Foreign Bodies WITHOUT C ARM,1275,1500
13,1,,Biopsies,,
13,1,375,Excision of Cervical Lymph Node UNDER LA,2635,3100
13,1,376,Excision of Axillary Lymph Node UNDER GA,6715,7900
13,1,377,Excision of Inguinal Lymph Node UNDER LA,2550,3000
13,1,378,Excision Biopsy of Ulcers,1400,1610
14,1,379,Excision Biopsy of Superficial Lumps,2898,3333
14,1,380,Incision Biopsy of Growths/Ulcers,1323,1521
14,1,381,Trucut Needle Biopsy INCLUDING NEEDLE,2975,3500
14,1,382,Percutaneous Kidney Biopsy,1323,1521
14,1,383,Marrow Biopsy (Open),1060,1219
14,1,384,Muscle Biopsy,1323,1521
14,1,385,Scalene Node Biopsy,1215,1397
14,1,386,Excision of Sebaceous Cysts,1118,1286
14,1,387,Excision of Superficial Lipoma,1739,2000
14,1,388,Excision of Superficial Neurofibroma,2250,2588
14,1,389,Excision of Dermoid Cysts,2049,2356
14,1,390,Haemorrhoidectomy,25500,30000
14,1,391,Stappler haemorrhoidectomy,37145,43700
14,1,392,keloid excision,1100,1265
14,1,393,Varicose vein surgery-Trendelenburg operation with suturing or ligation,19550,23000
14,1,,TREATMENT PROCEDURE OESOPHAGUS,,
14,1,394,Atresia of Oesophagus and Tracheo Oesophageal Fistula,25875,29756
14,1,395,Operations for Replacement of Oesophagus by Colon,22500,25875
14,1,396,Oesophagectomy for Carcinoma Easophagus,22500,25875
14,1,397,Oesophageal Intubation (Mausseau Barbin Tube),10350,11903
14,1,398,Achalasia Cardia Transthoracic,13455,15473
14,1,399,Achalasia Cardia Abdominal,11385,13093
14,1,400,Oesophago Gastrectomy for mid 1/3 lesion,22046,25353
14,1,401,Heller’s Operation,17775,20441
14,1,402,Colon-Inter position or Replacement of Oesophagus,20286,23329
14,1,403,Oesophago Gastrectomy – Lower Corringers procedure,19251,22139
14,1,404,Other Major Surgery,24863,28592
14,1,405,Other Minor Surgery,5000,5750
14,1,,TREATMENT PROCEDURE ABDOMEN / GI SURGERY,,
14,1,406,Gastroscopy,1553,1786
14,1,407,Gastric & Duodenal Biopsy (Endoscopic),1950,2243
15,1,408,Pyloromyotomy,2670,3071
15,1,409,Gastrostomy,7763,8927
15,1,410,Simple Closure of Perforated peptic Ulcer,8800,10120
15,1,411,Vagotomy Pyleroplasty / Gastro Jejunostomy,12420,14283
15,1,412,Duodenojejunostomy,17055,19613
15,1,413,Partial/Subtotal Gastrectomy for Carcinoma,20700,23805
15,1,414,Partial/Subtotal Gastrectomy for Ulcer,20183,23210
15,1,415,Operation for Bleeding Peptic Ulcer,18878,21710
15,1,416,Operation for Gastrojejunal Ulcer,17802,20472
15,1,417,Total Gastrectomy for Cancer,21400,24610
15,1,418,Highly Selective Vagotomy,16767,19282
15,1,419,Selective Vagotomy & Drainage,16767,19282
15,1,420,Congenital Diaphragmatic Hernia,34000,40000
15,1,421,Hiatus Hernia Repair- Abdominal,28050,33000
15,1,422,Hiatus Hernia Repair- Transthoracic,28050,33000
15,1,423,Exploratory Laparotomy,21250,25000
15,1,424,Epigastric Hernia Repair,21250,25000
15,1,425,Umbilical Hernia Repair,10247,11784
15,1,426,Ventral /incisional Hernia Repair,9850,11328
15,1,427,Inguinal Hernia Herniorrhaphy,22100,26000
15,1,428,Inguinal Hernia - Hernioplasty,27200,32000
15,1,429,Femoral Hernia Repair,27200,32000
15,1,430,"Rare Hernias Repair (Spigalion, Obturator, Lumbar, Sciatic)",17078,19640
15,1,431,Splenectomy - For Trauma,17078,19640
15,1,432,Splenectomy - For Hypersplenism,13860,15939
15,1,433,Splenorenal Anastomosis,20900,24035
15,1,434,Portocaval Anastomosis,26400,30360
15,1,435,Direct Operation on Oesophagus for Portal Hypertension,20597,23687
15,1,436,Mesentericocaval Anastomosis,24750,28463
15,1,437,Warren Shunt (Distal Splenorenal Shunt),25875,29756
15,1,438,Pancreatico Duodenectomy (Whipple's procedure),20790,23909
15,1,439,By Pass Procedure for Inoperable Carcinoma of Pancreas,20700,23805
16,1,440,Cystojejunostomy or Cystogastrostomy,13860,15939
16,1,441,Cholecystectomy,20400,24000
16,1,442,Cholecystectomy & Exploration of CBD,28050,33000
