city,source_pdf,source_page,procedure_name,nabh_rate,non_nabh_rate,cghs_rate,rate_type,remarks,extraction_method,needs_manual_review,quality_status,review_reason,raw_text_line,extraction_confidence
Kanpur and Gwalior,17062025160208_CGHS-Rate-2024--Kanpur.pdf,35,CGHS TREATMENT PROCEDURE/INVESTIGATION LIST KANPUR AND GWALIOR,,,,,,pdfplumber,False,needs_manual_review,header_like_procedure; missing_or_invalid_rate,,0.95
Kanpur and Gwalior,17062025160208_CGHS-Rate-2024--Kanpur.pdf,35,Nutritional Markers,,,,,,pdfplumber,False,needs_manual_review,missing_or_invalid_rate,,0.95
Kanpur and Gwalior,17062025160208_CGHS-Rate-2024--Kanpur.pdf,36,NAME OF INVESTIGATION / TUMOUR MARKERS,,,,,,pdfplumber,False,needs_manual_review,header_like_procedure; missing_or_invalid_rate,,0.95
Kanpur and Gwalior,17062025160208_CGHS-Rate-2024--Kanpur.pdf,36,CGHS TREATMENT PROCEDURE/INVESTIGATION LIST (DELHI/NCR),,,,,,pdfplumber,False,needs_manual_review,header_like_procedure; missing_or_invalid_rate,,0.95
Kanpur and Gwalior,17062025160208_CGHS-Rate-2024--Kanpur.pdf,36,OTHERS,,,,,,pdfplumber,False,needs_manual_review,missing_or_invalid_rate,,0.95
Kanpur and Gwalior,17062025160208_CGHS-Rate-2024--Kanpur.pdf,36,HORMONES,,,,,,pdfplumber,False,needs_manual_review,missing_or_invalid_rate,,0.95
Kanpur and Gwalior,17062025160208_CGHS-Rate-2024--Kanpur.pdf,37,17 Hydroxyprogesterone (17 OH Progesterone),506,440,,,,pdfplumber,False,needs_manual_review,messy_procedure,,0.95
Kanpur and Gwalior,17062025160208_CGHS-Rate-2024--Kanpur.pdf,37,LABORATORY/ MEDICINE/CLINICAL PATHOLOGY,,,,,,pdfplumber,False,needs_manual_review,missing_or_invalid_rate,,0.95
Kanpur and Gwalior,17062025160208_CGHS-Rate-2024--Kanpur.pdf,37,CGHS TREATMENT PROCEDURE/INVESTIGATION LIST KANPUR AND GWALIOR,,,,,,pdfplumber,False,needs_manual_review,header_like_procedure; missing_or_invalid_rate,,0.95
Kanpur and Gwalior,17062025160208_CGHS-Rate-2024--Kanpur.pdf,37,"USG, X-RAY , CT, MRI, BONE DENSITOMETRY",,,,,,pdfplumber,False,needs_manual_review,missing_or_invalid_rate,,0.95
Kanpur and Gwalior,17062025160208_CGHS-Rate-2024--Kanpur.pdf,37,X-Ray,,,,,,pdfplumber,False,needs_manual_review,missing_or_invalid_rate,,0.95
Kanpur and Gwalior,17062025160208_CGHS-Rate-2024--Kanpur.pdf,38,X-ray CONTRAST STUDIES,,,,,,pdfplumber,False,needs_manual_review,missing_or_invalid_rate,,0.95
Kanpur and Gwalior,17062025160208_CGHS-Rate-2024--Kanpur.pdf,38,MAMMOGRAPHY,,,,,,pdfplumber,False,needs_manual_review,missing_or_invalid_rate,,0.95
Kanpur and Gwalior,17062025160208_CGHS-Rate-2024--Kanpur.pdf,38,Computed Tomography (CT) Scan,,,,,,pdfplumber,False,needs_manual_review,missing_or_invalid_rate,,0.95
Kanpur and Gwalior,17062025160208_CGHS-Rate-2024--Kanpur.pdf,39,MRI,,,,,,pdfplumber,False,needs_manual_review,missing_or_invalid_rate,,0.95
Kanpur and Gwalior,17062025160208_CGHS-Rate-2024--Kanpur.pdf,40,BONE DENSITOMETRY (DEXA SCAN),,,,,,pdfplumber,False,needs_manual_review,missing_or_invalid_rate,,0.95
Kanpur and Gwalior,17062025160208_CGHS-Rate-2024--Kanpur.pdf,40,NEUROLOGICAL INVESTIGATIONS AND PROCEDURES,,,,,,pdfplumber,False,needs_manual_review,missing_or_invalid_rate,,0.95
Kanpur and Gwalior,17062025160208_CGHS-Rate-2024--Kanpur.pdf,40,CSF,,,,,,pdfplumber,False,needs_manual_review,missing_or_invalid_rate,,0.95
Kanpur and Gwalior,17062025160208_CGHS-Rate-2024--Kanpur.pdf,41,TESTS IN GASTRO-ENTEROLOGY,,,,,,pdfplumber,False,needs_manual_review,missing_or_invalid_rate,,0.95
Kanpur and Gwalior,17062025160208_CGHS-Rate-2024--Kanpur.pdf,41,TESTS IN ENDOCRINOLOGY ( IN ADDITION TO THOSE INCLUDED UNDER HORMONES),,,,,,pdfplumber,False,needs_manual_review,missing_or_invalid_rate,,0.95
Kanpur and Gwalior,17062025160208_CGHS-Rate-2024--Kanpur.pdf,41,24 Hr urinary aldosterone,1058,920,,,,pdfplumber,False,needs_manual_review,messy_procedure,,0.95
Kanpur and Gwalior,17062025160208_CGHS-Rate-2024--Kanpur.pdf,42,,,,,,,pdfplumber,False,needs_manual_review,missing_procedure_name; missing_or_invalid_rate,,0.95
Kanpur and Gwalior,17062025160208_CGHS-Rate-2024--Kanpur.pdf,42,MRI-Prostate (Multi-parametric),,,,,,pdfplumber,False,needs_manual_review,missing_or_invalid_rate,,0.95
Kanpur and Gwalior,17062025160208_CGHS-Rate-2024--Kanpur.pdf,42,Fractional Flow Reserve (FFR) Wire cost (AIIMS Rates,,,,,,pdfplumber,False,needs_manual_review,missing_or_invalid_rate,,0.95
Kanpur and Gwalior,17062025160208_CGHS-Rate-2024--Kanpur.pdf,42,Erythropoietin Level (Select CGHS rate code 1557 for approved rate),,,,,,pdfplumber,False,needs_manual_review,missing_or_invalid_rate,,0.95
Kanpur and Gwalior,17062025160208_CGHS-Rate-2024--Kanpur.pdf,43,Laser Trabeculoplasty Gonioplasty B/E,,,,,,pdfplumber,False,needs_manual_review,missing_or_invalid_rate,,0.95
Kanpur and Gwalior,17062025160208_CGHS-Rate-2024--Kanpur.pdf,43,Sleep deprived EEG (Rate shall be the same CGHS rate of EEG/Video EEG) Select CGHS rate code 1716,,,,,,pdfplumber,False,needs_manual_review,missing_or_invalid_rate,,0.95
Delhi and NCR,29092025143716_CGHS-Rates-2024--Delhi--NCR (1).pdf,1,PROCEDURE/INVESTIGATION LIST,,,,,,pdfplumber,False,needs_manual_review,missing_or_invalid_rate,,0.95
Delhi and NCR,29092025143716_CGHS-Rates-2024--Delhi--NCR (1).pdf,1,(DELHI/NCR),,,,,,pdfplumber,False,needs_manual_review,header_like_procedure; missing_or_invalid_rate,,0.95
Delhi and NCR,29092025143716_CGHS-Rates-2024--Delhi--NCR (1).pdf,2,,,,,,applicable in all CGHS cities,pdfplumber,False,needs_manual_review,missing_procedure_name; missing_or_invalid_rate,,0.95
Delhi and NCR,29092025143716_CGHS-Rates-2024--Delhi--NCR (1).pdf,2,TREATMENT PROCEDURE SKIN,,,,,Remarks,pdfplumber,False,needs_manual_review,header_like_procedure; missing_or_invalid_rate,,0.95
Delhi and NCR,29092025143716_CGHS-Rates-2024--Delhi--NCR (1).pdf,2,,,,,,,pdfplumber,False,needs_manual_review,missing_procedure_name; missing_or_invalid_rate,,0.95
Delhi and NCR,29092025143716_CGHS-Rates-2024--Delhi--NCR (1).pdf,2,TREATMENT PROCEDURE OPTHALMOLOGY,,,,,Remarks,pdfplumber,False,needs_manual_review,header_like_procedure; missing_or_invalid_rate,,0.95
Delhi and NCR,29092025143716_CGHS-Rates-2024--Delhi--NCR (1).pdf,3,90 D lens examination,58,50,,,,pdfplumber,False,needs_manual_review,messy_procedure,,0.95
Delhi and NCR,29092025143716_CGHS-Rates-2024--Delhi--NCR (1).pdf,5,TREATMENT PROCEDURE DENTAL,,,,,Remarks,pdfplumber,False,needs_manual_review,header_like_procedure; missing_or_invalid_rate,,0.95
Delhi and NCR,29092025143716_CGHS-Rates-2024--Delhi--NCR (1).pdf,5,PROCEDURES,,,,,,pdfplumber,False,needs_manual_review,missing_or_invalid_rate,,0.95
Delhi and NCR,29092025143716_CGHS-Rates-2024--Delhi--NCR (1).pdf,5,,,,,,,pdfplumber,False,needs_manual_review,missing_procedure_name; missing_or_invalid_rate,,0.95
Delhi and NCR,29092025143716_CGHS-Rates-2024--Delhi--NCR (1).pdf,6,TREATMENT PROCEDURE ENT,,,,,Remarks,pdfplumber,False,needs_manual_review,header_like_procedure; missing_or_invalid_rate,,0.95
Delhi and NCR,29092025143716_CGHS-Rates-2024--Delhi--NCR (1).pdf,6,,,,,,,pdfplumber,False,needs_manual_review,missing_procedure_name; missing_or_invalid_rate,,0.95
Delhi and NCR,29092025143716_CGHS-Rates-2024--Delhi--NCR (1).pdf,8,TREATMENT PROCEDURE FOR HEAD AND,,,,,Remarks,pdfplumber,False,needs_manual_review,header_like_procedure; missing_or_invalid_rate,,0.95
Delhi and NCR,29092025143716_CGHS-Rates-2024--Delhi--NCR (1).pdf,8,NECK,,,,,,pdfplumber,False,needs_manual_review,missing_or_invalid_rate,,0.95
Delhi and NCR,29092025143716_CGHS-Rates-2024--Delhi--NCR (1).pdf,8,,,,,,,pdfplumber,False,needs_manual_review,missing_procedure_name; missing_or_invalid_rate,,0.95
Delhi and NCR,29092025143716_CGHS-Rates-2024--Delhi--NCR (1).pdf,9,Direct Laryngoscopy including biopsy under GA (Select CGHS rate Code 295 for approved rate),,,,,,pdfplumber,False,needs_manual_review,missing_or_invalid_rate,,0.95
Delhi and NCR,29092025143716_CGHS-Rates-2024--Delhi--NCR (1).pdf,9,TREATMENT PROCEDUR HEAD And NECK,,,,,Remarks,pdfplumber,False,needs_manual_review,missing_or_invalid_rate,,0.95
Delhi and NCR,29092025143716_CGHS-Rates-2024--Delhi--NCR (1).pdf,9,CANCER,,,,,,pdfplumber,False,needs_manual_review,missing_or_invalid_rate,,0.95
Delhi and NCR,29092025143716_CGHS-Rates-2024--Delhi--NCR (1).pdf,9,,,,,,,pdfplumber,False,needs_manual_review,missing_procedure_name; missing_or_invalid_rate,,0.95
Delhi and NCR,29092025143716_CGHS-Rates-2024--Delhi--NCR (1).pdf,9,TREATMENT PROCEDURE BREAST,,,,,Remarks,pdfplumber,False,needs_manual_review,header_like_procedure; missing_or_invalid_rate,,0.95
Delhi and NCR,29092025143716_CGHS-Rates-2024--Delhi--NCR (1).pdf,9,TREATMENT PROCEDURE GENERAL,,,,,Remarks,pdfplumber,False,needs_manual_review,header_like_procedure; missing_or_invalid_rate,,0.95
Delhi and NCR,29092025143716_CGHS-Rates-2024--Delhi--NCR (1).pdf,9,SURGERY,,,,,,pdfplumber,False,needs_manual_review,missing_or_invalid_rate,,0.95
Delhi and NCR,29092025143716_CGHS-Rates-2024--Delhi--NCR (1).pdf,10,TREATMENT PROCEDURE BIOPSIES,,,,,Remarks,pdfplumber,False,needs_manual_review,header_like_procedure; missing_or_invalid_rate,,0.95
Delhi and NCR,29092025143716_CGHS-Rates-2024--Delhi--NCR (1).pdf,10,,,,,,,pdfplumber,False,needs_manual_review,missing_procedure_name; missing_or_invalid_rate,,0.95
Delhi and NCR,29092025143716_CGHS-Rates-2024--Delhi--NCR (1).pdf,10,Muscle Biopsy ) (Select CGHS rate Code 1724 for approved rate),,,,,,pdfplumber,False,needs_manual_review,missing_or_invalid_rate,,0.95
Delhi and NCR,29092025143716_CGHS-Rates-2024--Delhi--NCR (1).pdf,10,TREATMENT PROCEDURE OESOPHAGUS,,,,,Remarks,pdfplumber,False,needs_manual_review,header_like_procedure; missing_or_invalid_rate,,0.95
Delhi and NCR,29092025143716_CGHS-Rates-2024--Delhi--NCR (1).pdf,11,TREATMENT PROCEDURE ABDOMEN / GI,,,,,Remarks,pdfplumber,False,needs_manual_review,header_like_procedure; missing_or_invalid_rate,,0.95
Delhi and NCR,29092025143716_CGHS-Rates-2024--Delhi--NCR (1).pdf,11,SURGERY,,,,,,pdfplumber,False,needs_manual_review,missing_or_invalid_rate,,0.95
Delhi and NCR,29092025143716_CGHS-Rates-2024--Delhi--NCR (1).pdf,11,,,,,,,pdfplumber,False,needs_manual_review,missing_procedure_name; missing_or_invalid_rate,,0.95
Delhi and NCR,29092025143716_CGHS-Rates-2024--Delhi--NCR (1).pdf,13,Prolapse Rectum - Grahams Operation,,,,,Rate revised w.e.f. 01.02.2024 & applicable in all CGHS cities,pdfplumber,False,needs_manual_review,missing_or_invalid_rate,,0.95
Delhi and NCR,29092025143716_CGHS-Rates-2024--Delhi--NCR (1).pdf,14,Other Major Surgery-Abdomen/GI Surgery,,,,,Rate revised w.e.f. 01.02.2024 & applicable in all CGHS cities,pdfplumber,False,needs_manual_review,missing_or_invalid_rate,,0.95
Delhi and NCR,29092025143716_CGHS-Rates-2024--Delhi--NCR (1).pdf,14,Other Minor Surgery-Abdomen/GI Surgery,,,,,Rate revised w.e.f. 01.02.2024 & applicable in all CGHS cities,pdfplumber,False,needs_manual_review,missing_or_invalid_rate,,0.95
