city,source_pdf,source_page,procedure_name,nabh_rate,non_nabh_rate,cghs_rate,rate_type,remarks,extraction_method,needs_manual_review,quality_status
Bengaluru,17062025131439_CGHS Rates 2024 Banglore.pdf,16,498 [Laparoscopic GI bypass operation,25300,22000,,,,ocr,False,usable_ocr
Bengaluru,17062025131439_CGHS Rates 2024 Banglore.pdf,16,Laparoscopic Total Colectomy,28750,25000,,,,ocr,False,usable_ocr
Bengaluru,17062025131439_CGHS Rates 2024 Banglore.pdf,16,‘Laparoscopic Appedicectomy,30000,25500,,,,ocr,False,usable_ocr
Bengaluru,17062025131439_CGHS Rates 2024 Banglore.pdf,16,‘Laparoscopic Hernia inguinal repair,35000,29750,,,,ocr,False,usable_ocr
Bengaluru,17062025131439_CGHS Rates 2024 Banglore.pdf,16,‘Laparoscopic Adrenelectomy,13800,12000,,,,ocr,False,usable_ocr
Bengaluru,17062025131439_CGHS Rates 2024 Banglore.pdf,17,Intra-Aortic Balloon Pump (IABP),194880,162000,,,,ocr,False,usable_ocr
Bengaluru,17062025131439_CGHS Rates 2024 Banglore.pdf,18,« ;,90700,77000,,,,ocr,False,usable_ocr
Bengaluru,17062025131439_CGHS Rates 2024 Banglore.pdf,18,Embolectony,21735,18900,,,,ocr,False,usable_ocr
Bengaluru,17062025131439_CGHS Rates 2024 Banglore.pdf,18,Vascular Repair,41400,36000,,,,ocr,False,usable_ocr
Bengaluru,17062025131439_CGHS Rates 2024 Banglore.pdf,18,Radiofrequency (RF) ablation conventional,96000,81600,,,,ocr,False,usable_ocr
Bengaluru,17062025131439_CGHS Rates 2024 Banglore.pdf,18,Septostomy- Balloon,30000,25500,,,,ocr,False,usable_ocr
Bengaluru,17062025131439_CGHS Rates 2024 Banglore.pdf,19,Septostomy- Blade,22483,19550,,,,ocr,False,usable_ocr
Bengaluru,17062025131439_CGHS Rates 2024 Banglore.pdf,19,Renal Angioplasty,55000,46750,,,,ocr,False,usable_ocr
Bengaluru,17062025131439_CGHS Rates 2024 Banglore.pdf,19,Aortic stent grafting for aortic aneurysm,90275,78500,,,,ocr,False,usable_ocr
Bengaluru,17062025131439_CGHS Rates 2024 Banglore.pdf,19,Stress Echo- pharmacological *,3000,2550,,,,ocr,False,usable_ocr
Bengaluru,17062025131439_CGHS Rates 2024 Banglore.pdf,21,laparotomy +,8332,7245,,,,ocr,False,usable_ocr
Bengaluru,17062025131439_CGHS Rates 2024 Banglore.pdf,21,oophorectomy,17854,15525,,,,ocr,False,usable_ocr
Bengaluru,17062025131439_CGHS Rates 2024 Banglore.pdf,21,649 [Manchester Operation,17250,5000,,,,ocr,False,usable_ocr
Bengaluru,17062025131439_CGHS Rates 2024 Banglore.pdf,24,perations for Vesicoureteric Reflux (VUR) -Open,18630,16200,,,,ocr,False,usable_ocr
Bengaluru,17062025131439_CGHS Rates 2024 Banglore.pdf,24,Biopsy of Bladder (Cystoscopic),2645,2300,,,,ocr,False,usable_ocr
Bengaluru,17062025131439_CGHS Rates 2024 Banglore.pdf,25,Simple Cystectomy,17854,15525,,,,ocr,False,usable_ocr
Bengaluru,17062025131439_CGHS Rates 2024 Banglore.pdf,25,761 _ [Repair of Ureterocoel -Endoscopic incision,14950,13000,,,,ocr,False,usable_ocr
Bengaluru,17062025131439_CGHS Rates 2024 Banglore.pdf,25,Open Suprapubic Prostatectomy,21425,18630,,,,ocr,False,usable_ocr
Bengaluru,17062025131439_CGHS Rates 2024 Banglore.pdf,28,Endoscopic Bulking agent Inject,4658,4050,,,,ocr,False,usable_ocr
Bengaluru,17062025131439_CGHS Rates 2024 Banglore.pdf,28,Testicular Biopsy,2248,1955,,,,ocr,False,usable_ocr
Bengaluru,17062025131439_CGHS Rates 2024 Banglore.pdf,28,Nephrectomy Simple -Open,11585,10074,,,,ocr,False,usable_ocr
Bengaluru,17062025131439_CGHS Rates 2024 Banglore.pdf,28,859 _ [Nephrectomy Simple-lap/Endoscopic,14482,12593,,,,ocr,False,usable_ocr
Bengaluru,17062025131439_CGHS Rates 2024 Banglore.pdf,33,Activator (TPA) (for ischemic stroke ),5290,4600,,,,ocr,False,usable_ocr
Bengaluru,17062025131439_CGHS Rates 2024 Banglore.pdf,36,a 4,8625,7500,,,,ocr,False,usable_ocr
Bengaluru,17062025131439_CGHS Rates 2024 Banglore.pdf,40,1246 [Intermittent Lumbar Traction,8,78,,,,ocr,False,usable_ocr
Bengaluru,17062025131439_CGHS Rates 2024 Banglore.pdf,47,1434 [ImmunohistochemistryIHC),8,786,,,,ocr,False,usable_ocr
Bengaluru,17062025131439_CGHS Rates 2024 Banglore.pdf,57,"creatinine Ratio (ACR), Urine",158,120,,,,ocr,False,usable_ocr
Bengaluru,17062025131439_CGHS Rates 2024 Banglore.pdf,60,"Male, Annual Health Check u ono 00 ICCS Group A Officer of above 40 years of age 2",22,2,,,,ocr,False,usable_ocr
Bengaluru,17062025131439_CGHS Rates 2024 Banglore.pdf,60,1834 ao computed Tomography (HRCT,,1700,,,,ocr,False,usable_ocr
Bengaluru,17062025131439_CGHS Rates 2024 Banglore.pdf,62,Fibro optic Nasal Endoscopy,12300,1955,,,,ocr,False,usable_ocr
Bengaluru,17062025131439_CGHS Rates 2024 Banglore.pdf,62,TAVI/TAVR Implant,1284000,1284000,,,,ocr,False,usable_ocr
Bengaluru,19062025172723_Revision of CGHS rates for Cardiology procedures  PET-CT scan and inclusion of 2 new procedures regd ( 19 and 21 December 2023).pdf,1,"545, Balloon coronary angioplasty /",83725,171150,,,,ocr,False,usable_ocr
Bengaluru,19062025172723_Revision of CGHS rates for Cardiology procedures  PET-CT scan and inclusion of 2 new procedures regd ( 19 and 21 December 2023).pdf,1,° Pe fare Catheterization (CATH),13545,111510,,,,ocr,False,usable_ocr
Bengaluru,19062025172723_Revision of CGHS rates for Cardiology procedures  PET-CT scan and inclusion of 2 new procedures regd ( 19 and 21 December 2023).pdf,2,a Permanent pacemaker implantation-,4,86550,,,,ocr,False,usable_ocr
Bengaluru,19062025172723_Revision of CGHS rates for Cardiology procedures  PET-CT scan and inclusion of 2 new procedures regd ( 19 and 21 December 2023).pdf,3,22 fet —__Pesieheral ‘Angioplasty with VCD,5500,46750,,,,ocr,False,usable_ocr
Bengaluru,19062025172723_Revision of CGHS rates for Cardiology procedures  PET-CT scan and inclusion of 2 new procedures regd ( 19 and 21 December 2023).pdf,3,2 pee ‘Angioplasty,155000,46750,,,,ocr,False,usable_ocr
Bengaluru,19062025172723_Revision of CGHS rates for Cardiology procedures  PET-CT scan and inclusion of 2 new procedures regd ( 19 and 21 December 2023).pdf,3,a a es ultrasound (IVUS),,50000,,,,ocr,False,usable_ocr
Bengaluru,19062025172723_Revision of CGHS rates for Cardiology procedures  PET-CT scan and inclusion of 2 new procedures regd ( 19 and 21 December 2023).pdf,3,entricular septal defect (VSD) closure,1109900,93415,,,,ocr,False,usable_ocr
