extraction_method,city_folder,source_pdf,source_page,extracted_table_index,raw_text_line,procedure_name,nabh_rate,non_nabh_rate,cghs_rate,rate_type,remarks,extraction_confidence,needs_manual_review
pdfplumber,Kanpur and Gwalior,17062025160208_CGHS-Rate-2024--Kanpur.pdf,3,1,,Argon/diode laser for retinal detatchment,"1,323.00","1,150.00",,,,0.95,False
pdfplumber,Kanpur and Gwalior,17062025160208_CGHS-Rate-2024--Kanpur.pdf,3,1,,Intralase application for keratoconus,"6,613.00","5,750.00",,,,0.95,False
pdfplumber,Kanpur and Gwalior,17062025160208_CGHS-Rate-2024--Kanpur.pdf,3,1,,EOG- electro-oculogram,"1,035.00",900.00,,,,0.95,False
pdfplumber,Kanpur and Gwalior,17062025160208_CGHS-Rate-2024--Kanpur.pdf,4,1,,ERG- Electro-retinogram,913.00,794.00,,,,0.95,False
pdfplumber,Kanpur and Gwalior,17062025160208_CGHS-Rate-2024--Kanpur.pdf,4,1,,VEP- visually evoked potential,920.00,800.00,,,,0.95,False
pdfplumber,Kanpur and Gwalior,17062025160208_CGHS-Rate-2024--Kanpur.pdf,4,1,,Vitrectomy- pars plana,"11,903.00","10,350.00",,,,0.95,False
pdfplumber,Kanpur and Gwalior,17062025160208_CGHS-Rate-2024--Kanpur.pdf,4,1,,Intravitreal injections- of antibiotics,"1,265.00","1,100.00",,,,0.95,False
pdfplumber,Kanpur and Gwalior,17062025160208_CGHS-Rate-2024--Kanpur.pdf,4,1,,Intravitreal injections- of Ranibizumab excluding cost of drug,"3,450.00","3,000.00",,,,0.95,False
pdfplumber,Kanpur and Gwalior,17062025160208_CGHS-Rate-2024--Kanpur.pdf,4,1,,X Ray orbit,132.00,115.00,,,,0.95,False
pdfplumber,Kanpur and Gwalior,17062025160208_CGHS-Rate-2024--Kanpur.pdf,4,1,,CT orbit and brain,1840.00,1600.00,,,,0.95,False
pdfplumber,Kanpur and Gwalior,17062025160208_CGHS-Rate-2024--Kanpur.pdf,4,1,,MRI- Orbit and brain,"3,968.00","3,450.00",,,,0.95,False
pdfplumber,Kanpur and Gwalior,17062025160208_CGHS-Rate-2024--Kanpur.pdf,4,1,,Dacryocystography,391.00,340.00,,,,0.95,False
pdfplumber,Kanpur and Gwalior,17062025160208_CGHS-Rate-2024--Kanpur.pdf,4,1,,Orbital angio-graphical studies,"1,725.00","1,500.00",,,,0.95,False
pdfplumber,Kanpur and Gwalior,17062025160208_CGHS-Rate-2024--Kanpur.pdf,4,1,,Extracapsular cataract extraction (ECCE) with IOL,"3,968.00","3,450.00",,,,0.95,False
pdfplumber,Kanpur and Gwalior,17062025160208_CGHS-Rate-2024--Kanpur.pdf,4,1,,Small Incision Cataract Surgery (SICS) with IOL,"5,175.00","4,500.00",,,,0.95,False
