source_page,extracted_table_index,column_1,column_2,column_3,column_4,column_5
6,1,307,Excision of Cystic Hygroma Extensive,6707,7713
6,1,308,Excision of Branchial Cyst,9315,10713
6,1,309,Excision of Branchial Sinus,9315,10713
6,1,310,Excision of Pharyngeal Diverticulum,9522,10950
6,1,311,Excision of Carotid Body-Tumours,10454,12021
6,1,312,Operation for Cervical Rib,12500,14375
6,1,313,Block Dissection of Cervical Lymph Nodes,15000,17250
6,1,314,Pharyngectomy & Reconstruction,15000,17250
6,1,315,Operation for Carcinoma Lip - Wedge-Excision,7245,8332
6,1,316,Operation for Carcinoma Lip - Vermilionectomy,5758,6622
6,1,317,Operation for Carcinoma Lip - Wedge Excision and Vermilonectomy,8363,9617
6,1,318,Estlander Operation,6728,7736
6,1,319,Abbe Operation,9800,11270
6,1,320,Cheek Advancement,8798,10143
6,1,321,Excision of the Maxilla,17388,19996
6,1,322,Excision of mandible-segmental,13972,16069
6,1,323,Mandibulectomy,18900,21735
6,1,324,Partial Glossectomy,5520,6348
6,1,325,Hemiglossectomy,7000,8050
6,1,326,Total Glossectomy,20596,23686
7,1,327,Commondo Operation,22000,25300,
7,1,328,Parotidectomy - Superficial,12075,13886,
7,1,329,Parotidectomy - Total,13500,15525,
7,1,330,Parotidectomy - Radical,17595,20559,
7,1,331,Repair of Parotid Duct,11500,13225,
7,1,332,Removal of Submandibular Salivary gland,8625,9919,
7,1,333,Hemithyroidectomy,9500,10925,
7,1,334,Partial Thyroidectomy (lobectomy),11500,13225,
7,1,335,Subtotal Thyroidectomy,11748,13510,
7,1,336,Total Thyroidectomy,17100,19665,
7,1,337,Resection Enucleation of thyroid Adenoma,9522,10950,
7,1,338,Total Thyroidectomy and Block Dissection,23805,27376,
7,1,339,Excision of Lingual Thyroid,15194,17472,
7,1,340,Excision of Thyroglossal Cyst/Fistula,11902,13688,
7,1,341,Excision of Parathyroid Adenoma/Carcinoma,19148,22020,
7,1,342,Laryngectomy,17825,20499,
7,1,343,Laryngo Pharyngectomy,27000,31050,
7,1,344,Hyoid Suspension,9315,10713,
7,1,345,Genioplasty,12000,13800,
7,1,346,Direct Laryngoscopy including biopsy under GA,5175,5951,
7,1,347,Phonosurgery,13800,15870,
