Sno,Hospital Id,Hospital Name,State,District,,,,Hospital Contact,Specialities Selected,Hospital Type,Empanelment Type,Submitted Date,Status Updated Date,Application Status,OnBoarded For Convergence Scheme,Upgraded Specialities,Current Specialities
51,HOSP36G132891,Area hospital Devarakonda,TELANGANA,NALGONDA,,,,9440525406,"M2,S10,S11,S4,S5,S6,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,"M2, S10, S11, S4, S5, S6"
52,HOSP36G132892,Area hospital Gajwel,TELANGANA,SIDDIPET,,,,8454232362,"M1,M7,M1,S7,M2,S1,S2,S4,S6,S7,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,"M1, M7, S7, M2, S1, S2, S4, S6"
53,HOSP36G132893,AREA HOSPITAL Huzurabad,TELANGANA,KARIMNAGAR,,,,9849141258,"M1,M7,M1,S7,M2,S4,S5,S6,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,"M1, M7, S7, M2, S4, S5, S6"
54,HOSP36G132894,Area hospital Nirmal,TELANGANA,Nirmal,,,,8008553104,"M1,M7,S1,S4,S5,S6,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,"M1, M7, S1, S4, S5, S6"
55,HOSP36G132895,Area hospital Zahirabad,TELANGANA,SANGAREDDY,,,,9949711131,"M2,S1,S4,S5,S6,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,"M2, S1, S4, S5, S6"
56,HOSP36G132896,Area Hospital - Sathupally,TELANGANA,KHAMMAM,,,,9177770275,"M2,S1,S4,S5,S6,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,"M2, S1, S4, S5, S6"
57,HOSP36G132897,Area hospital - Nagarkurnool,TELANGANA,NAGARKURNOOL,,,,8008553820,"M1,M7,M1,S7,M2,S1,S4,S5,S6,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,"M1, M7, S7, M2, S1, S4, S5, S6"
58,HOSP36G132898,CHC - Peddapally,TELANGANA,PEDDAPALLI,,,,8008553156,"M1,M1,M2,S8,M1,M7,M1,S7,M2,M3,M4,M5,M6,M8,S1,S10,S11,S12,S13,S14,S15,S2,S3,S4,S5,S6,S7,S8,S9,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,"M1, M2, S8, M7, S7, M3, M4, M5, M6, M8, S1, S10, S11, S12, S13, S14, S15, S2, S3, S4, S5, S6, S9"
59,HOSP36G132899,Area hospital - Penuballi,TELANGANA,KHAMMAM,,,,9989024373,"M2,S3,S4,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,"M2, S3, S4"
60,HOSP36G132900,Area hospital - Narsampet,TELANGANA,WARANGAL RURAL,,,,8008553162,"M1,S7,M2,S1,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,"M1, S7, M2, S1"
