S.No,City,AD City Name,City ID,Hospital Name,Accreditation,Tier Type,Address,Facilities,Raw JSON
62,Ahmedabad,Ahmedabad,10,NARAYANA HRUDAYALAYA LTD,NABH,TIER 1,AHMEDABAD,,"{""adcityName"": ""Ahmedabad"", ""cityName"": ""AHMEDABAD"", ""hospAcc"": ""NABH"", ""hospName"": ""NARAYANA HRUDAYALAYA LTD"", ""tierType"": ""TIER 1""}"
63,Ahmedabad,Ahmedabad,10,NETRALAYA SUPER SPECIALITY EYE HOSPITAL,,TIER 1,AHMEDABAD,,"{""adcityName"": ""Ahmedabad"", ""cityName"": ""AHMEDABAD"", ""hospAcc"": """", ""hospName"": ""NETRALAYA SUPER SPECIALITY EYE HOSPITAL"", ""tierType"": ""TIER 1""}"
64,Ahmedabad,Ahmedabad,10,NETRALAYA SUPER SPECIALITY EYE HOSPITAL,,TIER 1,AHMEDABAD,,"{""adcityName"": ""Ahmedabad"", ""cityName"": ""AHMEDABAD"", ""hospAcc"": """", ""hospName"": ""NETRALAYA SUPER SPECIALITY EYE HOSPITAL"", ""tierType"": ""TIER 1""}"
65,Ahmedabad,Ahmedabad,10,NETRALAYA SUPER SPECIALITY EYE HOSPITAL,NON NABH,TIER 1,AHMEDABAD,,"{""adcityName"": ""Ahmedabad"", ""cityName"": ""AHMEDABAD"", ""hospAcc"": ""NON NABH"", ""hospName"": ""NETRALAYA SUPER SPECIALITY EYE HOSPITAL"", ""tierType"": ""TIER 1""}"
66,Ahmedabad,Ahmedabad,10,NEUBERG DIAGNOSTICS PRIVATE LIMITED.,NABL,TIER 1,AHMEDABAD,,"{""adcityName"": ""Ahmedabad"", ""cityName"": ""AHMEDABAD"", ""hospAcc"": ""NABL"", ""hospName"": ""NEUBERG DIAGNOSTICS PRIVATE LIMITED."", ""tierType"": ""TIER 1""}"
67,Ahmedabad,Ahmedabad,10,NEW VISION LASER CENTRES RAJKOT PVT LTD,,TIER 1,AHMEDABAD,,"{""adcityName"": ""Ahmedabad"", ""cityName"": ""AHMEDABAD"", ""hospAcc"": """", ""hospName"": ""NEW VISION LASER CENTRES RAJKOT PVT LTD"", ""tierType"": ""TIER 1""}"
68,Ahmedabad,Ahmedabad,10,NEW VISION LASER CENTRES RAJKOT PVT LTD,NABH,TIER 1,AHMEDABAD,,"{""adcityName"": ""Ahmedabad"", ""cityName"": ""AHMEDABAD"", ""hospAcc"": ""NABH"", ""hospName"": ""NEW VISION LASER CENTRES RAJKOT PVT LTD"", ""tierType"": ""TIER 1""}"
69,Ahmedabad,Ahmedabad,10,Nishtha Retina Centre,NON NABH,TIER 1,AHMEDABAD,,"{""adcityName"": ""Ahmedabad"", ""cityName"": ""AHMEDABAD"", ""hospAcc"": ""NON NABH"", ""hospName"": ""Nishtha Retina Centre"", ""tierType"": ""TIER 1""}"
70,Ahmedabad,Ahmedabad,10,OCCURA EYE CARE and RESEARCH CENTERHEALTHCARE UNIT,NON NABH,TIER 1,AHMEDABAD,,"{""adcityName"": ""Ahmedabad"", ""cityName"": ""AHMEDABAD"", ""hospAcc"": ""NON NABH"", ""hospName"": ""OCCURA EYE CARE and RESEARCH CENTERHEALTHCARE UNIT"", ""tierType"": ""TIER 1""}"
71,Ahmedabad,Ahmedabad,10,Ojas Eye Care,NABH ENTRY LEVEL,TIER 1,AHMEDABAD,,"{""adcityName"": ""Ahmedabad"", ""cityName"": ""AHMEDABAD"", ""hospAcc"": ""NABH ENTRY LEVEL"", ""hospName"": ""Ojas Eye Care"", ""tierType"": ""TIER 1""}"
