scheme_code,hospital_id,hospital_name,aliases,state,district,city,address,hospital_type,empanelment_type,empanelment_status,specialities,source,last_updated
PMJAY,HOSP36P161406,VARSHITHA HOSPITAL,VARSHITHA HOSPITAL,TELANGANA,NALGONDA,NALGONDA,,Private(For Profit),PMJAY,active,-NA-,24_June_2026.csv,-NA-
PMJAY,HOSP36P161407,VENKATESWARA HOSPITAL,VENKATESWARA HOSPITAL,TELANGANA,KHAMMAM,KHAMMAM,,Private(For Profit),PMJAY,active,-NA-,24_June_2026.csv,-NA-
PMJAY,HOSP36P162117,M M S Hospital Mohan multi speciality hospital,M M S Hospital Mohan multi speciality hospital,TELANGANA,RANGA REDDY,RANGA REDDY,,Private(For Profit),PMJAY,active,-NA-,24_June_2026.csv,-NA-
PMJAY,HOSP36P162120,SRI SAI MARUTHI SUPER SPECIALTY HOSPITAL,SRI SAI MARUTHI SUPER SPECIALTY HOSPITAL,TELANGANA,KHAMMAM,KHAMMAM,,Private(For Profit),PMJAY,active,-NA-,24_June_2026.csv,-NA-
PMJAY,HOSP36P162122,RENEE HOSPITAL A Unit of Renee Medical Center Pvt Ltd,RENEE HOSPITAL A Unit of Renee Medical Center Pvt Ltd,TELANGANA,KARIMNAGAR,KARIMNAGAR,,Private(For Profit),PMJAY,active,-NA-,24_June_2026.csv,-NA-
PMJAY,HOSP36P172537,AMRUTHA TRUE LIFE HOSPITAL,AMRUTHA TRUE LIFE HOSPITAL,TELANGANA,NIZAMABAD,NIZAMABAD,,Private(For Profit),PMJAY,active,"S5, S6",24_June_2026.csv,-NA-
PMJAY,HOSP36P172538,AROGYA HOSPITAL,AROGYA HOSPITAL,TELANGANA,KHAMMAM,KHAMMAM,,Private(For Profit),PMJAY,active,-NA-,24_June_2026.csv,-NA-
PMJAY,HOSP36P172539,ASHWINI HOSPITAL,ASHWINI HOSPITAL,TELANGANA,RAJANNA SIRCILLA,RAJANNA SIRCILLA,,Private(For Profit),PMJAY,active,-NA-,24_June_2026.csv,-NA-
PMJAY,HOSP36P172540,ICON SUPER SPECIALITY HOSPITAL,ICON SUPER SPECIALITY HOSPITAL,TELANGANA,NALGONDA,NALGONDA,,Private(For Profit),PMJAY,active,"M1, S7, S13, S14, S16, S5",24_June_2026.csv,-NA-
PMJAY,HOSP36P172541,JAGRUTH SUPER SPECIALITY HOSPITAL,JAGRUTH SUPER SPECIALITY HOSPITAL,TELANGANA,KHAMMAM,KHAMMAM,,Private(For Profit),PMJAY,active,-NA-,24_June_2026.csv,-NA-
