source_page,extracted_table_index,Sr. No.,CGHS TREATMENT PROCEDURE/INVESTIGATION LIST (DELHI/NCR),Non- NABH/Non- NABL Rates,NABH/NABL Rates
18,1,423,Exploratory Laparotomy (open),21250,25000
18,1,Sr. No.,CGHS TREATMENT PROCEDURE/INVESTIGATION LIST (DELHI/NCR),Non- NABH/Non- NABL Rates,NABH/NABL rates in Rupee
18,1,424,Epigastric Hernia Repair,21250,25000
18,1,425,Umbilical Hernia Repair,11385,13093
18,1,426,Ventral /incisional Hernia Repair,10293,11837
18,1,427,Inguinal Hernia Herniorrhaphy,22100,26000
18,1,428,Inguinal Hernia - Hernioplasty,27200,32000
19,1,429,Femoral Hernia Repair,27200,32000
19,1,430,"Rare Hernias Repair (Spigalion, Obturator, Lumbar, Sciatic)",18975,21821
19,1,431,Splenectomy - For Trauma,18975,21821
19,1,432,Splenectomy - For Hypersplenism,14490,16664
19,1,433,Splenorenal Anastomosis,23000,26450
19,1,434,Portocaval Anastomosis,28750,33063
19,1,435,Direct Operation on Oesophagus for Portal Hypertension,22885,26318
19,1,436,Mesentericocaval Anastomosis,25450,29268
19,1,437,Warren Shunt (Distal Splenorenal Shunt),28750,33063
19,1,438,Pancreatico Duodenectomy (Whipple's procedure),21735,24995
19,1,439,By Pass Procedure for Inoperable Carcinoma of Pancreas,23000,26450
19,1,440,Cystojejunostomy or Cystogastrostomy,14490,16664
19,1,441,Cholecystectomy,20400,24000
19,1,442,Cholecystectomy & Exploration of CBD,28050,33000
19,1,443,Repair of Common Bile Duct (CBD),13600,15640
19,1,444,Operation for Hydatid Cyst of Liver,22950,27000
19,1,445,Cholecystostomy,10292,11836
19,1,446,Hepatic Resections (Lobectomy /Hepatectomy),28050,33000
19,1,447,Operation on Adrenal Glands - Bilateral,26105,30021
19,1,448,Operation on Adrenal Glands - Unilateral,13800,15870
19,1,449,Appendicectomy,16150,19000
19,1,450,Appendicular Abscess – Drainage,9775,11241
19,1,451,Mesenteric Cyst- Excision,11040,12696
19,1,452,Peritonioscopy/Laparoscopy,4600,5290
19,1,453,Jejunostomy,5750,6613
20,1,454,Ileostomy,15410,17722
20,1,455,Resection & Anastomosis of Small Intestine including exploratory Laparotomy,40375,47500
20,1,456,Duodenal Diverticulum,18400,21160
20,1,457,Operation for Intestinal Obstruction,10350,11903
20,1,458,Operation for Intestinal perforation,42350,48703
20,1,459,Benign Tumours of Small Intestine,19550,22483
20,1,460,Excision of Small Intestine Fistula,38250,45000
20,1,461,Operations for GI Bleed,16000,18400
